,unique_id,date_close,date_open,oplata
1189,091301708,08-09-22,09-09-22,450
1190,091301844,06-09-22,07-09-22,450
1191,091307697,,,450
1192,091306265,,,450
1193,091302627,,,450
1194,091301302,,,450
1195,091302628,,,450
1196,091301404,10-09-22,11-09-22,450
1197,091307051,12-09-22,13-09-22,450
1198,091306264,,,450
1199,091301403,,,450
1200,091301635,,,450
1201,091307629,,,450
1202,091303530,,,450
1203,091308151,,,350
1204,091302174,20-09-22,21-09-22,350
1205,091306294,16-09-22,18-09-22,350
1206,091306291,,,350
1207,091306266,,,450
1208,091301962,14-09-22,15-09-22,450
1209,060754007,,,
1210,060753367,,,
1211,060753292,,,
1212,060753448,,,
1213,060753291,,,
1214,060752706,,,
1215,060752707,,,
1216,060750510,,,
1217,060753791,,,
1218,060752708,,,
1219,060752925,,,
1220,060750502,,,
1221,060750504,,,
1222,060753371,,,
1223,060750501,,,
1224,060750500,,,
1225,060754069,,,
1226,060753372,,,
1227,060750508,,,
1228,060752712,,,
1229,060755046,,,
1230,060752709,,,
1231,060753373,,,
1232,060753374,,,
1233,060753369,,,
1234,060753792,,,
1235,060753793,,,
1236,060753375,,,
1237,060751527,,,
1238,060753368,,,
1239,060753263,,,
1240,060753290,,,
1241,060753683,,,
1242,060753293,,,
1243,060753366,,,
1244,060753789,,,
1245,060752711,,,
1246,060753370,,,
1247,060753790,,,
1248,060752713,,,
1249,060800858,,,
1250,060800861,,,
1251,060800519,,,
1252,060800878,,,
1253,060800332,,,
1254,060800502,,,
1255,060800859,,,
1256,060800503,,,
1257,060800880,,,
1258,060800336,,,
1259,060800517,,,
1260,060800877,,,
1261,060800501,,,
1262,060800876,,,
1263,060800853,,,
1264,060800488,,,
1265,060800875,,,
1266,060800504,,,
1267,060800500,,,
1268,060800516,,,
1269,060800879,,,
1270,060800518,,,
1271,030803504,,,400
1272,030805231,,,400
1273,030804046,,,400
1274,030804086,,,400
1275,030803603,,,400
1276,030802357,29-08-22,02-09-22,400
1277,030804406,,,400
1278,030804769,,,400
1279,030802065,,,400
1280,030805176,,,400
1281,030804935,,,
1282,030804936,,,
1283,030804416,,,
1284,030805200,,,
1285,030801979,05-09-22,07-09-22,
1286,030803738,01-09-22,03-09-22,
1287,030803740,,,
1288,030803602,,,400
1289,030805233,,,400
1290,030803739,,,400
1291,030803969,,,400
1292,030804761,,,400
1293,030802046,,,400
1294,030907506,,,400
1295,030909409,,,400
1296,030909211,,,400
1297,030941671,,,400
1298,030942230,,,400
1299,030909208,,,400
1300,030909140,08-08-22,14-08-22,400
1301,030902254,,,400
1302,030903432,,,400
1303,030909231,,,400
1304,030909237,,,400
1305,030942229,,,400
1306,030903318,,,400
1307,030907202,,,400
1308,030942227,,,400
1309,030909137,,,400
1310,040304387,,,
1311,040301702,,,
1312,040304461,,,
1313,040304459,,,
1314,040304460,,,
1315,040303758,,,
1316,040303073,,,
1317,040303075,,,
1318,040301277,,,
1319,040304531,,,
1320,040303076,,,
1321,040301278,,,
1322,040304728,,,
1323,040303706,,,
1324,040301267,01-09-22,05-09-22,
1325,040301280,,,
1326,040402459,,,400
1327,040402562,,,400
1328,040403162,,,400
1329,040404592,,,400
1330,040404647,,,400
1331,040402680,,,400
1332,040400652,,,400
1333,040402563,,,400
1334,040401548,,,
1335,040400651,,,
1336,040403686,01-09-22,30-09-22,400
1337,040403107,,,400
1338,040403710,,,400
1339,040403165,09-09-22,11-09-22,400
1340,090803778,,,450
1341,090802894,,,450
1342,090803753,,,450
1343,090802896,,,450
1344,090803754,,,450
1345,090802546,,,450
1346,090804074,,,450
1347,090801350,,,450
1348,090801119,,,450
1349,090802285,,,450
1350,090800726,,,450
1351,090803755,,,450
1352,090800725,,,
1353,061000772,,,
1354,061000773,,,
1355,061001418,,,
1356,061000774,,,
1357,061000809,,,
1358,061000787,,,
1359,061000775,,,
1360,061000776,,,
1361,061001419,,,
1362,061000777,,,
1363,061000778,,,
1364,061000789,,,
1365,061000877,,,
1366,061001173,,,
1367,061001294,,,
1368,061000804,,,
1369,040511779,,,
1370,040506756,05-09-22,30-09-22,
1371,040511694,,,
1372,040504237,,,
1373,040516242,,,
1374,040504229,,,
1375,040514649,,,
1376,040511283,20-09-22,21-09-22,
1377,040504230,,,
1378,040515613,,,
1379,040514703,,,
1380,040504257,,,
1381,040516372,05-09-22,25-09-22,
1382,040517228,,,
1383,040512188,,,
